avhengig_var,kjønn,utdanning,alder,inntekt
37,mann,høyere,51,764
38,kvinne,høyere,30,1175
20,kvinne,høyere,49,3237
43,kvinne,videregående,25,2195
20,kvinne,grunnskole,23,455
34,mann,høyere,56,239
44,mann,grunnskole,66,297
48,mann,grunnskole,31,768
38,mann,videregående,44,683
24,kvinne,grunnskole,37,875
29,kvinne,høyere,47,1292
20,kvinne,grunnskole,50,433
39,kvinne,videregående,29,1186
52,mann,grunnskole,67,283
28,kvinne,høyere,48,146
52,mann,videregående,51,445
34,mann,videregående,36,1082
59,mann,høyere,74,1168
64,mann,videregående,66,2046
34,kvinne,videregående,57,706
35,mann,videregående,36,1072
29,mann,videregående,74,552
45,mann,høyere,41,3383
50,mann,grunnskole,41,3112
52,mann,videregående,59,1021
9,kvinne,høyere,44,141
29,kvinne,videregående,48,939
50,mann,videregående,53,642
49,kvinne,høyere,21,552
14,kvinne,høyere,54,243
45,mann,høyere,52,450
24,kvinne,videregående,35,889
37,kvinne,høyere,38,1324
29,kvinne,høyere,40,1333
21,kvinne,høyere,57,369
23,kvinne,grunnskole,22,967
25,kvinne,grunnskole,49,706
49,mann,videregående,45,420
30,kvinne,grunnskole,47,1061
27,mann,høyere,39,884
28,mann,grunnskole,35,649
43,kvinne,videregående,38,860
32,kvinne,grunnskole,64,2452
49,kvinne,høyere,27,2052
9,mann,grunnskole,53,192
21,kvinne,grunnskole,44,1247
18,kvinne,grunnskole,45,688
48,mann,videregående,56,203
67,mann,videregående,20,556
48,mann,høyere,39,753
18,mann,videregående,50,290
56,kvinne,videregående,40,2226
26,mann,høyere,22,1271
25,mann,høyere,84,493
39,mann,høyere,58,582
55,mann,videregående,29,1738
60,mann,grunnskole,49,312
58,kvinne,videregående,48,454
20,mann,grunnskole,47,464
37,kvinne,høyere,39,184
35,kvinne,grunnskole,58,1689
22,mann,grunnskole,51,383
45,mann,høyere,26,313
25,mann,høyere,64,886
21,mann,videregående,68,464
36,mann,grunnskole,56,1033
47,mann,videregående,51,248
50,mann,videregående,28,793
58,mann,høyere,60,665
28,kvinne,videregående,65,447
42,kvinne,videregående,23,1357
45,kvinne,høyere,43,648
17,kvinne,høyere,58,217
30,kvinne,videregående,32,689
45,mann,videregående,58,493
61,kvinne,høyere,42,651
74,mann,grunnskole,38,599
20,mann,grunnskole,48,1530
39,kvinne,høyere,69,302
46,mann,videregående,50,1605
0,kvinne,høyere,37,416
30,kvinne,videregående,25,680
32,mann,høyere,53,362
24,kvinne,videregående,66,148
14,kvinne,høyere,52,337
24,kvinne,høyere,34,574
52,mann,høyere,70,405
43,mann,høyere,60,1073
63,mann,høyere,41,420
43,mann,grunnskole,58,211
43,mann,videregående,43,907
34,kvinne,grunnskole,52,331
31,kvinne,grunnskole,37,197
47,mann,videregående,34,383
31,kvinne,videregående,25,1073
30,mann,grunnskole,65,716
6,kvinne,høyere,56,1365
4,kvinne,høyere,48,1873
36,mann,høyere,35,940
33,mann,grunnskole,31,142
67,mann,grunnskole,67,932
18,kvinne,grunnskole,55,612
4,kvinne,grunnskole,32,2662
0,kvinne,videregående,65,170
42,mann,høyere,62,1118
49,mann,videregående,70,710
51,kvinne,høyere,55,2143
48,mann,videregående,39,895
37,mann,høyere,45,919
29,mann,grunnskole,43,1075
37,kvinne,grunnskole,57,755
30,mann,høyere,52,1044
50,mann,grunnskole,56,1688
6,kvinne,videregående,30,170
16,kvinne,videregående,48,1234
32,mann,videregående,30,3372
38,kvinne,høyere,30,1542
32,mann,høyere,39,2093
31,mann,videregående,66,285
50,mann,høyere,28,2593
31,mann,høyere,67,239
35,mann,videregående,67,255
22,kvinne,videregående,53,455
69,mann,grunnskole,47,1075
16,mann,grunnskole,49,1778
37,kvinne,videregående,57,717
45,kvinne,videregående,28,1280
58,mann,høyere,44,622
15,mann,grunnskole,40,952
68,mann,videregående,56,3127
35,kvinne,videregående,37,899
47,kvinne,høyere,63,685
60,mann,høyere,43,1419
0,kvinne,videregående,50,185
45,mann,videregående,84,829
26,kvinne,høyere,51,352
38,mann,grunnskole,40,1035
18,kvinne,høyere,34,814
20,mann,videregående,48,1217
60,mann,høyere,64,2390
51,kvinne,høyere,36,658
22,kvinne,videregående,37,671
36,kvinne,høyere,45,1103
15,kvinne,grunnskole,27,809
22,mann,grunnskole,40,530
40,mann,videregående,66,309
18,mann,videregående,57,680
22,mann,grunnskole,33,1302
9,kvinne,videregående,37,166
41,mann,høyere,44,376
13,kvinne,høyere,26,1344
12,mann,høyere,44,2028
41,mann,videregående,52,616
18,mann,grunnskole,75,500
15,kvinne,videregående,31,274
21,kvinne,videregående,38,1372
21,mann,grunnskole,27,766
42,mann,videregående,49,584
35,kvinne,videregående,30,1356
17,kvinne,videregående,49,725
35,mann,grunnskole,38,348
37,kvinne,videregående,41,1024
22,kvinne,høyere,52,280
37,mann,videregående,53,3335
31,mann,videregående,98,530
44,mann,grunnskole,36,204
41,mann,grunnskole,30,532
21,mann,høyere,25,610
14,kvinne,høyere,67,352
38,kvinne,grunnskole,41,315
23,mann,videregående,43,978
4,kvinne,grunnskole,23,320
48,mann,høyere,62,731
29,kvinne,videregående,51,369
45,mann,videregående,67,312
27,kvinne,videregående,45,635
45,kvinne,videregående,37,552
50,mann,grunnskole,35,1378
45,mann,høyere,59,1462
27,mann,videregående,28,254
0,kvinne,videregående,40,677
56,kvinne,høyere,34,1273
2,kvinne,grunnskole,23,2392
1,mann,videregående,36,354
25,mann,videregående,34,512
47,kvinne,høyere,51,1199
41,mann,videregående,47,469
41,kvinne,høyere,42,760
15,kvinne,grunnskole,53,999
40,kvinne,høyere,26,878
28,kvinne,høyere,37,448
38,mann,grunnskole,33,1726
47,mann,høyere,26,207
41,kvinne,grunnskole,53,966
62,mann,høyere,42,964
27,kvinne,videregående,73,719
32,kvinne,høyere,60,240
22,kvinne,videregående,35,392
30,mann,høyere,48,1242
41,kvinne,høyere,45,1038
64,mann,høyere,35,1988
40,kvinne,høyere,33,815
42,kvinne,høyere,57,1021
19,kvinne,videregående,51,183
51,mann,høyere,61,456
20,kvinne,grunnskole,35,674
21,mann,videregående,26,1277
34,mann,videregående,60,591
49,mann,videregående,46,253
38,kvinne,videregående,50,935
33,kvinne,grunnskole,42,1342
26,kvinne,videregående,43,175
40,mann,videregående,55,2058
39,mann,grunnskole,79,261
21,mann,videregående,56,972
30,kvinne,grunnskole,65,1074
27,mann,grunnskole,26,395
24,kvinne,høyere,30,1397
19,kvinne,videregående,37,1056
31,kvinne,høyere,77,1326
37,mann,grunnskole,34,515
50,mann,grunnskole,43,863
50,kvinne,høyere,46,666
32,kvinne,videregående,36,336
25,mann,høyere,73,644
49,mann,grunnskole,41,668
43,kvinne,videregående,60,711
13,kvinne,grunnskole,53,127
20,mann,videregående,39,149
23,kvinne,høyere,29,798
3,kvinne,videregående,60,199
27,kvinne,høyere,35,418
25,kvinne,videregående,42,1254
44,mann,videregående,57,573
41,mann,høyere,56,485
29,kvinne,høyere,29,190
58,mann,høyere,79,1694
25,kvinne,videregående,61,244
15,kvinne,videregående,40,446
19,kvinne,videregående,69,714
10,kvinne,videregående,53,888
27,kvinne,videregående,55,497
44,mann,høyere,35,834
19,mann,grunnskole,36,395
37,mann,videregående,32,1789
39,mann,høyere,25,847
20,mann,grunnskole,52,873
33,mann,videregående,41,221
39,kvinne,videregående,38,184
0,kvinne,videregående,22,1079
16,mann,høyere,31,1284
18,kvinne,grunnskole,20,152
6,kvinne,grunnskole,26,1062
19,mann,høyere,37,1019
0,kvinne,høyere,40,398
27,kvinne,høyere,24,1272
13,mann,grunnskole,64,499
19,kvinne,videregående,64,693
49,mann,videregående,57,824
66,mann,videregående,38,1670
48,mann,grunnskole,56,1315
7,kvinne,høyere,83,596
51,mann,høyere,59,2513
19,kvinne,høyere,52,755
22,mann,videregående,28,431
45,kvinne,videregående,56,915
39,kvinne,videregående,48,1280
28,kvinne,grunnskole,79,975
32,mann,grunnskole,24,1822
31,kvinne,videregående,36,784
42,kvinne,videregående,28,384
40,kvinne,høyere,58,605
31,mann,høyere,41,855
37,kvinne,grunnskole,40,2897
16,kvinne,grunnskole,45,328
9,kvinne,videregående,64,630
32,mann,grunnskole,53,512
34,mann,videregående,34,1975
0,kvinne,høyere,44,1150
32,mann,grunnskole,70,1072
18,mann,videregående,59,545
27,mann,videregående,62,336
58,mann,videregående,73,1047
8,kvinne,videregående,73,649
43,mann,høyere,29,154
49,mann,høyere,52,416
30,kvinne,høyere,18,742
28,kvinne,videregående,33,781
53,kvinne,grunnskole,29,188
25,kvinne,høyere,42,474
40,mann,høyere,44,267
65,mann,videregående,32,1559
71,mann,høyere,64,1150
47,mann,videregående,49,525
5,kvinne,høyere,56,553
42,mann,videregående,22,1448
16,kvinne,grunnskole,23,977
47,mann,videregående,43,449
42,mann,videregående,38,781
42,kvinne,videregående,24,419
42,kvinne,høyere,50,684
36,kvinne,videregående,34,417
6,kvinne,videregående,62,1283
26,mann,videregående,70,1144
19,kvinne,høyere,25,1637
32,kvinne,videregående,25,750
52,mann,høyere,82,1739
44,kvinne,høyere,22,372
36,mann,videregående,70,528
30,kvinne,høyere,51,1102
69,mann,videregående,31,344
44,mann,høyere,24,2143
22,kvinne,høyere,25,1251
0,kvinne,høyere,43,144
40,mann,grunnskole,43,485
16,kvinne,videregående,19,584
51,mann,grunnskole,75,611
43,mann,grunnskole,24,503
42,mann,grunnskole,23,504
67,mann,videregående,57,1334
30,mann,videregående,38,694
24,kvinne,videregående,42,725
49,mann,høyere,41,621
0,kvinne,grunnskole,63,288
30,kvinne,grunnskole,37,194
13,mann,videregående,58,904
29,kvinne,høyere,59,1624
27,kvinne,høyere,61,192
37,mann,videregående,58,1256
45,mann,videregående,40,1014
22,mann,grunnskole,20,1063
36,kvinne,høyere,72,475
35,kvinne,høyere,32,1067
21,kvinne,høyere,37,367
22,mann,høyere,52,681
24,kvinne,videregående,60,329
52,kvinne,høyere,56,735
15,kvinne,videregående,77,617
33,kvinne,høyere,81,710
68,mann,høyere,54,975
38,kvinne,høyere,41,1688
29,mann,videregående,51,233
37,kvinne,grunnskole,60,299
29,mann,videregående,51,716
49,kvinne,grunnskole,50,1292
34,mann,videregående,34,1348
30,mann,høyere,37,385
22,kvinne,videregående,42,464
8,kvinne,høyere,38,447
26,mann,grunnskole,49,239
11,kvinne,grunnskole,47,118
69,mann,grunnskole,31,752
16,kvinne,grunnskole,19,1833
44,mann,videregående,40,1532
25,mann,videregående,51,464
43,kvinne,høyere,84,763
31,mann,høyere,74,461
25,kvinne,videregående,39,421
35,mann,høyere,25,721
38,mann,videregående,56,698
15,mann,høyere,51,811
55,mann,høyere,49,970
43,mann,grunnskole,49,510
42,kvinne,høyere,82,793
25,kvinne,høyere,51,1271
44,mann,høyere,53,800
32,mann,grunnskole,48,647
32,kvinne,grunnskole,35,569
51,mann,videregående,26,1062
38,kvinne,høyere,23,256
44,kvinne,videregående,21,280
38,kvinne,videregående,71,984
24,kvinne,videregående,46,411
19,mann,grunnskole,39,599
18,mann,videregående,69,400
35,mann,høyere,50,537
2,kvinne,høyere,64,2436
34,kvinne,videregående,41,210
16,kvinne,videregående,29,420
16,kvinne,grunnskole,50,191
35,mann,grunnskole,43,305
8,kvinne,videregående,71,1843
55,mann,høyere,32,2528
51,mann,videregående,37,219
34,kvinne,grunnskole,60,501
23,kvinne,videregående,45,943
18,kvinne,videregående,20,657
10,kvinne,høyere,64,991
29,kvinne,høyere,62,528
2,kvinne,videregående,24,334
41,mann,høyere,36,329
35,kvinne,høyere,55,2280
46,mann,høyere,46,572
18,kvinne,videregående,42,488
35,mann,videregående,35,553
37,kvinne,grunnskole,75,351
50,kvinne,høyere,26,764
8,mann,grunnskole,19,395
6,kvinne,grunnskole,22,479
37,kvinne,grunnskole,81,745
0,kvinne,grunnskole,31,539
11,kvinne,grunnskole,31,666
54,kvinne,høyere,45,609
32,mann,høyere,77,2268
26,kvinne,grunnskole,54,462
32,mann,høyere,39,297
44,kvinne,høyere,44,858
5,kvinne,høyere,21,811
7,mann,videregående,28,453
25,mann,høyere,64,282
55,kvinne,høyere,67,1101
26,kvinne,videregående,68,2023
33,mann,grunnskole,49,562
49,kvinne,grunnskole,27,485
37,mann,høyere,48,575
31,kvinne,grunnskole,56,428
53,mann,høyere,35,1005
31,mann,grunnskole,53,474
48,mann,grunnskole,48,1217
51,mann,videregående,29,1430
25,kvinne,høyere,66,1085
45,mann,videregående,22,1462
37,mann,høyere,23,467
42,kvinne,videregående,66,775
35,mann,videregående,34,754
15,kvinne,høyere,30,1104
28,mann,videregående,52,343
10,kvinne,videregående,51,826
26,kvinne,høyere,34,1742
19,mann,videregående,44,270
17,kvinne,grunnskole,47,701
10,kvinne,høyere,62,377
0,kvinne,videregående,29,1005
36,mann,høyere,54,1368
23,kvinne,videregående,57,653
26,kvinne,videregående,31,518
0,kvinne,grunnskole,46,165
1,kvinne,grunnskole,26,1347
28,kvinne,videregående,32,2717
19,kvinne,videregående,68,403
43,mann,høyere,38,634
31,kvinne,høyere,44,1148
5,mann,høyere,71,711
40,mann,høyere,58,373
43,kvinne,videregående,72,773
38,mann,høyere,51,189
3,kvinne,grunnskole,23,310
34,kvinne,videregående,28,1369
52,mann,grunnskole,74,462
17,kvinne,grunnskole,57,973
17,mann,videregående,48,1769
24,kvinne,grunnskole,57,1895
19,kvinne,videregående,39,885
14,mann,grunnskole,42,159
48,kvinne,grunnskole,45,1650
16,mann,videregående,35,405
24,mann,høyere,86,698
14,kvinne,grunnskole,45,1668
39,mann,videregående,81,572
45,mann,videregående,48,639
28,mann,videregående,52,902
42,mann,videregående,39,982
26,mann,videregående,23,92
36,mann,videregående,46,177
13,mann,videregående,44,201
52,kvinne,grunnskole,57,400
32,kvinne,videregående,36,253
38,kvinne,høyere,60,525
27,kvinne,videregående,76,183
12,kvinne,høyere,61,624
58,mann,høyere,23,575
29,mann,høyere,63,547
38,mann,grunnskole,62,225
26,kvinne,videregående,57,1807
44,mann,grunnskole,52,639
22,kvinne,videregående,56,162
43,kvinne,videregående,35,1370
37,kvinne,videregående,46,934
37,kvinne,videregående,21,625
17,kvinne,grunnskole,59,766
41,kvinne,grunnskole,39,641
33,mann,høyere,29,208
58,mann,videregående,57,1046
65,mann,videregående,35,831
45,mann,høyere,27,164
11,mann,grunnskole,49,1050
47,mann,videregående,56,418
12,kvinne,videregående,48,457
30,kvinne,høyere,27,583
20,kvinne,grunnskole,57,251
43,mann,grunnskole,49,251
41,kvinne,høyere,40,422
8,kvinne,videregående,48,238
49,mann,høyere,45,127
31,mann,høyere,19,429
0,kvinne,høyere,58,689
38,mann,grunnskole,33,1528
53,kvinne,grunnskole,37,923
24,kvinne,videregående,51,339
28,mann,høyere,42,342
23,kvinne,høyere,45,765
43,mann,videregående,40,683
48,mann,høyere,48,1147
12,kvinne,grunnskole,52,505
14,mann,høyere,63,1068
36,mann,høyere,37,804
18,mann,høyere,35,803
20,kvinne,videregående,26,413
22,kvinne,grunnskole,40,414
37,mann,grunnskole,21,491
55,mann,videregående,80,1953
22,kvinne,høyere,76,336
16,mann,videregående,48,503
36,kvinne,grunnskole,56,1096
61,mann,videregående,54,1822
54,kvinne,videregående,83,346
29,kvinne,videregående,60,900
47,mann,høyere,55,791
22,kvinne,videregående,56,389
44,mann,høyere,41,658
19,kvinne,høyere,43,637
0,kvinne,grunnskole,63,2358
18,kvinne,videregående,25,467
78,mann,grunnskole,32,3875
26,kvinne,høyere,20,236
59,mann,grunnskole,79,485
38,kvinne,videregående,39,1181
14,mann,videregående,36,280
14,kvinne,høyere,39,1215
54,mann,grunnskole,64,668
55,mann,grunnskole,44,802
33,mann,videregående,50,3599
51,kvinne,videregående,35,1225
0,kvinne,videregående,47,605
54,mann,videregående,61,668
14,kvinne,videregående,39,749
28,kvinne,høyere,25,1029
45,mann,høyere,33,535
25,kvinne,videregående,55,2266
51,mann,høyere,60,439
55,mann,grunnskole,58,331
58,kvinne,høyere,56,391
33,kvinne,grunnskole,32,1008
28,mann,videregående,58,1386
16,mann,videregående,67,717
16,mann,grunnskole,87,822
0,mann,grunnskole,44,205
77,mann,videregående,65,1310
35,mann,høyere,50,798
38,kvinne,høyere,51,1306
49,kvinne,høyere,36,2171
37,mann,høyere,25,424
29,kvinne,videregående,42,385
56,mann,høyere,30,265
12,kvinne,høyere,90,683
25,kvinne,høyere,27,761
26,kvinne,høyere,27,225
47,kvinne,videregående,62,2435
55,kvinne,videregående,30,366
39,mann,videregående,32,436
31,kvinne,grunnskole,24,369
29,mann,videregående,46,648
24,kvinne,videregående,22,229
8,mann,videregående,20,503
26,kvinne,høyere,34,733
45,mann,høyere,43,1347
62,mann,grunnskole,51,1259
5,kvinne,videregående,47,786
40,mann,videregående,32,867
19,mann,videregående,42,147
33,mann,grunnskole,47,1297
24,kvinne,videregående,30,1276
28,mann,høyere,49,577
12,mann,høyere,46,361
13,kvinne,grunnskole,46,1446
43,mann,grunnskole,39,1200
29,kvinne,videregående,24,1736
35,mann,videregående,21,326
46,mann,videregående,60,389
43,mann,grunnskole,69,1088
35,kvinne,grunnskole,72,137
42,kvinne,høyere,53,673
17,kvinne,grunnskole,39,609
48,mann,høyere,18,628
48,mann,grunnskole,52,717
31,kvinne,videregående,45,1137
27,kvinne,videregående,42,1124
15,mann,videregående,50,679
43,mann,videregående,64,107
38,mann,videregående,42,216
52,kvinne,grunnskole,56,1153
23,kvinne,grunnskole,40,202
24,mann,videregående,46,886
17,kvinne,grunnskole,36,569
16,mann,høyere,34,842
43,mann,høyere,31,158
39,mann,videregående,72,317
27,mann,grunnskole,45,968
41,kvinne,grunnskole,67,305
23,mann,grunnskole,71,433
52,kvinne,høyere,49,1059
0,kvinne,grunnskole,77,2225
41,mann,videregående,62,1380
2,kvinne,høyere,68,550
37,kvinne,høyere,30,2171
11,kvinne,videregående,56,1646
28,mann,videregående,33,182
48,mann,grunnskole,41,1353
67,mann,høyere,41,2320
31,mann,videregående,26,907
29,mann,grunnskole,34,265
55,mann,videregående,45,679
50,mann,høyere,48,822
37,mann,grunnskole,59,543
51,kvinne,grunnskole,59,215
31,mann,videregående,69,329
32,mann,høyere,37,590
50,mann,videregående,31,2447
40,kvinne,høyere,20,454
54,mann,videregående,43,855
33,kvinne,videregående,65,951
62,kvinne,høyere,52,412
33,kvinne,grunnskole,22,519
42,kvinne,høyere,48,318
8,kvinne,høyere,49,564
39,mann,høyere,43,134
37,kvinne,videregående,73,726
62,kvinne,høyere,58,293
28,kvinne,grunnskole,50,247
12,kvinne,videregående,23,225
28,kvinne,grunnskole,33,965
39,kvinne,videregående,27,649
65,kvinne,videregående,38,299
55,mann,grunnskole,81,758
54,mann,høyere,46,1053
4,mann,grunnskole,45,244
43,kvinne,videregående,61,624
19,mann,grunnskole,42,1746
24,mann,grunnskole,68,1518
37,kvinne,grunnskole,35,1135
14,kvinne,videregående,47,864
39,kvinne,videregående,31,908
0,kvinne,videregående,36,3176
26,kvinne,videregående,26,437
51,mann,høyere,60,227
39,kvinne,høyere,46,2471
51,mann,videregående,43,1505
19,kvinne,videregående,80,884
15,kvinne,høyere,29,239
38,mann,videregående,73,2230
47,mann,grunnskole,57,162
26,mann,grunnskole,40,673
26,mann,videregående,62,2031
53,kvinne,høyere,43,1312
25,kvinne,høyere,31,511
41,kvinne,videregående,81,396
56,mann,grunnskole,30,304
40,mann,grunnskole,56,253
26,mann,høyere,32,1719
31,kvinne,grunnskole,27,221
61,mann,videregående,41,1257
13,mann,grunnskole,82,688
17,mann,videregående,68,726
23,mann,grunnskole,46,712
38,mann,grunnskole,70,745
56,mann,videregående,38,808
21,kvinne,videregående,73,344
22,kvinne,høyere,38,521
24,kvinne,grunnskole,50,309
36,kvinne,videregående,26,1159
32,kvinne,høyere,58,460
43,mann,høyere,63,1133
35,kvinne,videregående,38,704
18,kvinne,grunnskole,55,224
16,kvinne,grunnskole,31,832
52,mann,grunnskole,75,320
53,mann,videregående,45,1051
47,mann,høyere,34,1329
19,kvinne,videregående,36,544
39,mann,videregående,44,696
8,kvinne,høyere,48,601
32,mann,videregående,77,744
29,kvinne,høyere,89,1249
25,kvinne,høyere,53,741
39,kvinne,høyere,57,873
21,mann,høyere,30,1334
27,kvinne,høyere,48,2704
55,mann,grunnskole,41,1754
1,mann,videregående,30,350
13,kvinne,grunnskole,47,1742
27,kvinne,høyere,34,346
27,mann,høyere,58,538
70,mann,høyere,76,839
27,kvinne,videregående,98,738
55,mann,videregående,48,982
34,kvinne,grunnskole,29,1181
44,kvinne,høyere,30,2432
42,mann,videregående,56,576
53,mann,videregående,70,448
36,mann,videregående,72,736
49,kvinne,grunnskole,33,877
20,kvinne,grunnskole,34,355
51,kvinne,videregående,25,462
1,kvinne,høyere,58,659
49,mann,høyere,21,899
34,kvinne,videregående,47,2300
17,mann,grunnskole,60,344
50,mann,videregående,44,725
15,kvinne,høyere,54,814
40,kvinne,høyere,40,1036
3,kvinne,grunnskole,45,598
37,mann,videregående,55,649
43,kvinne,videregående,71,292
18,mann,grunnskole,71,334
40,mann,videregående,49,307
29,mann,grunnskole,27,428
49,mann,grunnskole,61,2452
32,mann,grunnskole,48,339
30,mann,videregående,37,291
23,kvinne,høyere,61,1491
17,kvinne,grunnskole,35,1300
40,kvinne,videregående,26,354
38,mann,grunnskole,54,518
31,mann,videregående,59,1383
46,kvinne,grunnskole,58,231
22,mann,høyere,25,807
5,kvinne,høyere,59,344
43,kvinne,høyere,41,183
36,mann,høyere,49,1094
45,kvinne,grunnskole,40,1097
33,mann,høyere,41,1089
43,mann,videregående,41,1518
21,kvinne,videregående,30,134
41,kvinne,høyere,36,1011
16,kvinne,videregående,50,360
27,kvinne,grunnskole,51,511
45,mann,videregående,39,350
23,kvinne,høyere,58,501
25,kvinne,høyere,54,256
21,mann,videregående,54,1673
15,kvinne,grunnskole,37,141
24,mann,grunnskole,32,272
14,kvinne,videregående,24,184
30,mann,grunnskole,57,893
56,mann,videregående,27,739
23,mann,videregående,45,1383
37,kvinne,grunnskole,58,957
21,kvinne,videregående,24,247
6,kvinne,videregående,57,1000
32,mann,videregående,34,504
45,mann,høyere,54,1039
35,mann,videregående,40,971
44,mann,høyere,36,881
4,kvinne,grunnskole,36,532
0,kvinne,videregående,72,245
41,kvinne,høyere,38,712
36,kvinne,grunnskole,50,288
21,kvinne,grunnskole,43,433
44,mann,høyere,64,549
50,mann,grunnskole,31,1446
42,kvinne,videregående,50,581
50,mann,videregående,26,250
14,kvinne,videregående,28,556
52,mann,videregående,46,449
50,mann,videregående,74,1345
50,mann,videregående,19,376
20,kvinne,videregående,25,1878
21,kvinne,grunnskole,61,977
44,kvinne,grunnskole,49,660
48,mann,høyere,76,648
49,mann,høyere,54,367
41,mann,grunnskole,68,313
25,mann,videregående,48,286
52,kvinne,høyere,19,425
6,kvinne,høyere,32,664
64,mann,grunnskole,56,1113
46,mann,høyere,34,367
25,mann,grunnskole,51,1047
54,mann,høyere,55,169
42,mann,grunnskole,65,967
23,mann,grunnskole,29,1139
8,kvinne,videregående,32,606
42,mann,høyere,28,2573
28,mann,videregående,64,913
60,mann,grunnskole,46,877
18,kvinne,høyere,62,734
41,mann,høyere,75,1228
27,kvinne,høyere,46,1082
20,mann,videregående,27,659
38,mann,grunnskole,35,330
31,kvinne,høyere,43,600
48,mann,høyere,29,1285
5,kvinne,høyere,33,154
30,mann,høyere,66,262
26,mann,videregående,39,159
35,kvinne,grunnskole,26,735
44,mann,grunnskole,36,1516
21,kvinne,høyere,42,1559
54,mann,videregående,65,1634
50,kvinne,høyere,70,983
47,mann,grunnskole,58,249
33,mann,høyere,61,184
19,mann,videregående,46,172
29,mann,grunnskole,62,786
33,kvinne,videregående,55,466
41,mann,grunnskole,66,575
13,mann,videregående,49,445
44,mann,grunnskole,40,952
22,kvinne,videregående,26,293
41,mann,videregående,36,203
39,mann,grunnskole,29,821
16,mann,høyere,38,376
52,mann,høyere,41,485
27,kvinne,grunnskole,69,914
34,kvinne,høyere,60,1773
31,kvinne,høyere,63,1273
46,kvinne,grunnskole,36,1096
46,mann,høyere,62,658
30,kvinne,høyere,84,888
29,mann,grunnskole,41,507
68,mann,videregående,67,508
0,kvinne,videregående,52,206
38,mann,høyere,26,392
43,kvinne,videregående,90,546
21,kvinne,høyere,26,463
45,mann,grunnskole,63,879
